             9: (134,134,134) #868686 srgb(134,134,134)
           123: (135,135,135) #878787 grey53
            11: (136,136,136) #888888 srgb(136,136,136)
            24: (137,137,137) #898989 srgb(137,137,137)
            44: (138,138,138) #8A8A8A grey54
            70: (139,139,139) #8B8B8B srgb(139,139,139)
            14: (140,140,140) #8C8C8C grey55
            39: (141,141,141) #8D8D8D srgb(141,141,141)
           173: (142,142,142) #8E8E8E srgb(142,142,142)
           116: (143,143,143) #8F8F8F grey56
           120: (144,144,144) #909090 srgb(144,144,144)
             8: (145,145,145) #919191 grey57
           143: (146,146,146) #929292 srgb(146,146,146)
            62: (147,147,147) #939393 srgb(147,147,147)
         29792: (148,0,211) #9400D3 DarkViolet
            69: (148,148,148) #949494 grey58
           168: (149,149,149) #959595 srgb(149,149,149)
            35: (150,150,150) #969696 grey59
             3: (151,151,151) #979797 srgb(151,151,151)
            43: (152,152,152) #989898 srgb(152,152,152)
            65: (153,153,153) #999999 grey60
            66: (154,154,154) #9A9A9A srgb(154,154,154)
            63: (155,155,155) #9B9B9B srgb(155,155,155)
            49: (156,156,156) #9C9C9C grey61
            53: (157,157,157) #9D9D9D srgb(157,157,157)
            28: (158,158,158) #9E9E9E grey62
            68: (159,159,159) #9F9F9F srgb(159,159,159)
             4: (160,160,160) #A0A0A0 srgb(160,160,160)
            77: (161,161,161) #A1A1A1 grey63
            23: (162,162,162) #A2A2A2 srgb(162,162,162)
            18: (163,163,163) #A3A3A3 grey64
           344: (164,164,164) #A4A4A4 srgb(164,164,164)
            41: (165,165,165) #A5A5A5 srgb(165,165,165)
            56: (166,166,166) #A6A6A6 grey65
            37: (167,167,167) #A7A7A7 srgb(167,167,167)
           267: (168,168,168) #A8A8A8 grey66
            40: (169,169,169) #A9A9A9 DarkGray
            32: (170,170,170) #AAAAAA srgb(170,170,170)
           254: (171,171,171) #ABABAB grey67
            21: (172,172,172) #ACACAC srgb(172,172,172)
            70: (173,173,173) #ADADAD grey68
             3: (174,174,174) #AEAEAE srgb(174,174,174)
            87: (175,175,175) #AFAFAF srgb(175,175,175)
            39: (176,176,176) #B0B0B0 grey69
           120: (177,177,177) #B1B1B1 srgb(177,177,177)
            94: (178,178,178) #B2B2B2 srgb(178,178,178)
             3: (179,179,179) #B3B3B3 grey70
             7: (180,180,180) #B4B4B4 srgb(180,180,180)
           109: (181,181,181) #B5B5B5 grey71
            31: (182,182,182) #B6B6B6 srgb(182,182,182)
            63: (183,183,183) #B7B7B7 srgb(183,183,183)
             6: (184,184,184) #B8B8B8 grey72
             8: (185,185,185) #B9B9B9 srgb(185,185,185)
            48: (186,186,186) #BABABA grey73
            33: (187,187,187) #BBBBBB srgb(187,187,187)
            30: (188,188,188) #BCBCBC srgb(188,188,188)
            19: (189,189,189) #BDBDBD grey74
            60: (190,190,190) #BEBEBE grey
           334: (191,191,191) #BFBFBF grey75
            32: (192,192,192) #C0C0C0 silver
           103: (193,193,193) #C1C1C1 srgb(193,193,193)
            36: (194,194,194) #C2C2C2 grey76
            58: (195,195,195) #C3C3C3 srgb(195,195,195)
            41: (196,196,196) #C4C4C4 grey77
            43: (197,197,197) #C5C5C5 srgb(197,197,197)
             6: (198,198,198) #C6C6C6 srgb(198,198,198)
           115: (199,199,199) #C7C7C7 grey78
            10: (200,200,200) #C8C8C8 srgb(200,200,200)
             4: (201,201,201) #C9C9C9 grey79
             9: (202,202,202) #CACACA srgb(202,202,202)
            22: (203,203,203) #CBCBCB srgb(203,203,203)
             4: (204,204,204) #CCCCCC grey80
           122: (205,205,205) #CDCDCD srgb(205,205,205)
            44: (206,206,206) #CECECE srgb(206,206,206)
           120: (207,207,207) #CFCFCF grey81
            61: (208,208,208) #D0D0D0 srgb(208,208,208)
            35: (209,209,209) #D1D1D1 grey82
            39: (210,210,210) #D2D2D2 srgb(210,210,210)
            83: (211,211,211) #D3D3D3 LightGray
            94: (212,212,212) #D4D4D4 grey83
           103: (213,213,213) #D5D5D5 srgb(213,213,213)
           177: (214,214,214) #D6D6D6 grey84
             9: (215,215,215) #D7D7D7 srgb(215,215,215)
            29: (216,216,216) #D8D8D8 srgb(216,216,216)
            75: (217,217,217) #D9D9D9 grey85
            72: (218,218,218) #DADADA srgb(218,218,218)
            26: (219,219,219) #DBDBDB grey86
           129: (220,220,220) #DCDCDC gainsboro
            74: (221,221,221) #DDDDDD srgb(221,221,221)
            76: (222,222,222) #DEDEDE grey87
            48: (223,223,223) #DFDFDF srgb(223,223,223)
            75: (224,224,224) #E0E0E0 grey88
           197: (225,225,225) #E1E1E1 srgb(225,225,225)
            11: (226,226,226) #E2E2E2 srgb(226,226,226)
           112: (227,227,227) #E3E3E3 grey89
         29792: (228,26,28) #E41A1C srgb(228,26,28)
            36: (228,228,228) #E4E4E4 srgb(228,228,228)
            94: (229,229,229) #E5E5E5 grey90
            31: (230,230,230) #E6E6E6 srgb(230,230,230)
            96: (231,231,231) #E7E7E7 srgb(231,231,231)
            33: (232,232,232) #E8E8E8 grey91
           127: (233,233,233) #E9E9E9 srgb(233,233,233)
           168: (234,234,234) #EAEAEA srgb(234,234,234)
           121: (235,235,235) #EBEBEB grey92
           131: (236,236,236) #ECECEC srgb(236,236,236)
            97: (237,237,237) #EDEDED grey93
           308: (238,238,238) #EEEEEE srgb(238,238,238)
         12745: (239,239,239) #EFEFEF srgb(239,239,239)
           189: (240,240,240) #F0F0F0 grey94
           123: (241,241,241) #F1F1F1 srgb(241,241,241)
